STATE,DISTRICT,BLOCK,CAT1,VAL1,CAT2,VAL2
ANDHRA PRADESH,Alluri Sitharama Raju,ANANTHAGIRI,SGWE_NC,0.7033997655334113,CAU_NC,safe
ANDHRA PRADESH,Parvathipuram Manyam,GUMMALAKSHMIPURAM,SGWE_NC,3.534563653425086,CAU_NC,safe
ANDHRA PRADESH,Alluri Sitharama Raju,PADERU,SGWE_NC,0.5819874872690237,CAU_C,Hilly Area
ANDHRA PRADESH,Vizianagaram,GARIVIDI,SGWE_NC,12.07439198855508,CAU_NC,safe
ANDHRA PRADESH,Alluri Sitharama Raju,Y RAMAVARAM,SGWE_NC,2.1690013556258476,CAU_NC,safe
ANDHRA PRADESH,Alluri Sitharama Raju,MUNCHINGIPUTTU,SGWE_NC,4.310344827586207,CAU_NC,safe
ANDHRA PRADESH,Alluri Sitharama Raju,MUNCHINGIPUTTU,SGWE_NC,2.218430034129693,CAU_NC,safe
ANDHRA PRADESH,Sri Potti Sriramulu Nellore,DAGADARTHI,SGWE_NC,70.74281494245798,CAU_NC,semi_critical
ANDHRA PRADESH,Alluri Sitharama Raju,ARAKU VALLEY,SGWE_NC,4.562737642585551,CAU_NC,safe
ANDHRA PRADESH,Srikakulam,MANDASA,SGWE_NC,55.509783728115345,CAU_NC,safe
ANDHRA PRADESH,Kurnool,KALLUR,SGWE_NC,35.45223392662551,CAU_NC,safe
ANDHRA PRADESH,Vizianagaram,VIZIANAGARAM MANDAL,SGWE_NC,24.890829694323145,CAU_NC,safe
ANDHRA PRADESH,Srikakulam,KOTABOMMAL,SGWE_NC,35.16185096676081,CAU_NC,safe
ANDHRA PRADESH,Alluri Sitharama Raju,ADDATEEGALA,SGWE_NC,1.060931899641577,CAU_NC,safe
ANDHRA PRADESH,Vizianagaram,RAMABHADRAPURAM,SGWE_NC,42.50994255413169,CAU_NC,safe
ANDHRA PRADESH,Alluri Sitharama Raju,GUDEM KOTHAVEEDHI,SGWE_NC,1.475940153659523,CAU_C,Hilly Area
ANDHRA PRADESH,Anakapalli,ATCHUTAPURAM,SGWE_NC,48.17751047931475,CAU_NC,safe
ANDHRA PRADESH,Ananthapuramu,KALYANDURG,SGWE_NC,54.25059241706162,CAU_NC,safe
ANDHRA PRADESH,Srikakulam,MELIAPUTTI,SGWE_NC,68.5945273631841,CAU_NC,safe
ANDHRA PRADESH,Tirupati,TIRUPATI,SGWE_NC,44.648155192088254,CAU_NC,safe
ANDHRA PRADESH,Kakinada,GOLLAPROLU,SGWE_NC,38.8427429427929,CAU_NC,safe
ANDHRA PRADESH,Ananthapuramu,NARPALA,SGWE_NC,61.39461726668996,CAU_NC,safe
ANDHRA PRADESH,Alluri Sitharama Raju,HUKUMPETA,SGWE_NC,0.5293806246691372,CAU_NC,safe
ANDHRA PRADESH,Alluri Sitharama Raju,GUDEM KOTHAVEEDHI,SGWE_NC,1.937046004842615,CAU_C,Hilly Area
ANDHRA PRADESH,Chittoor,SRIRANGARAJAPURAM,SGWE_NC,22.261306532663315,CAU_NC,safe
ANDHRA PRADESH,Chittoor,CHOWDEPALLE,SGWE_NC,99.02178002591866,CAU_NC,critical
ANDHRA PRADESH,Tirupati,VAKADU,SGWE_NC,5.833333333333334,CAU_NC,safe
ANDHRA PRADESH,Palnadu,DURGI,SGWE_NC,42.58791082509769,CAU_NC,safe
